n,state_0,state_1,state_2
83,-3.966011297266526e-16,-1.911324717898677e-06,-3.867565848694964e-15
84,8.371643486770886e-08,-1.457167719820518e-15,-5.207597877088244e-06
85,2.2994912538377943e-16,1.3370353034447557e-06,2.308182628035464e-15
86,-1.286951119526536e-07,1.124100812432971e-15,4.470481629381684e-06
87,-8.380883200697869e-17,-8.836623641705899e-07,-9.488937536623901e-16
88,1.390828068157865e-07,-8.062127354602211e-16,-3.5962097918416924e-06
89,-6.114900763356379e-17,5.442817250789211e-07,-3.7470029454952236e-16
90,-1.2662999814352927e-07,5.48172618408671e-16,2.7038331746886968e-06
91,1.6393136466395983e-16,-3.051238082196761e-07,1.3721662478843499e-15
92,1.0090633265069648e-07,-4.3194614551822497e-16,-1.8739567590186912e-06
93,-2.095898366826497e-16,1.4907523016027824e-07,-1.677260785854959e-15
94,-6.962606966670615e-08,4.371503159461554e-16,1.1595301619427012e-06
95,1.8317595265412448e-16,-5.794929602842557e-08,1.5655879118794337e-15
96,3.9043609293548664e-08,-3.3306690738754696e-16,-5.948837658031891e-07
97,-1.5048726483343767e-16,1.3831124370811139e-08,-1.1605300237957221e-15
98,-1.4346970795414693e-08,1.5959455978986625e-16,2.028538599457841e-07
99,4.30428245283734e-17,2.360976275594991e-10,4.458239239014216e-16
