Cycle 1,,,,Cycle 2,,,,,,,,,,
reduction,,oxidation,,reduction,,oxidation,,,,,,,,
E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah),,,,,,,
0.89,1.59E-05,0.85,0.0014,0.42,4.02E-05,0.81,0.0014,,,,,,,
0.87,1.69E-05,0.86,0.0014,0.42,4.16E-05,0.82,0.0014,,,,,,,
0.85,1.79E-05,0.87,0.0014,0.41,4.31E-05,0.83,0.0014,,,,,,,
0.83,1.90E-05,0.88,0.0014,0.40,4.47E-05,0.84,0.0014,,,,,,,
0.81,2.03E-05,0.88,0.0014,0.39,4.63E-05,0.85,0.00141,,,,,,,
0.79,2.18E-05,0.89,0.0014,0.38,4.80E-05,0.86,0.00141,,,,,,,
0.77,2.37E-05,0.90,0.0014,0.37,4.97E-05,0.87,0.00141,,,,,,,
0.75,2.60E-05,0.91,0.0014,0.37,5.15E-05,0.88,0.00141,,,,,,,
0.73,2.91E-05,0.92,0.0014,0.36,5.33E-05,0.89,0.00141,,,,,,,
0.71,3.30E-05,0.93,0.0014,0.35,5.53E-05,0.90,0.00141,,,,,,,
0.69,3.74E-05,0.94,0.0014,0.34,5.72E-05,0.91,0.00141,,,,,,,
0.67,4.18E-05,0.95,0.0014,0.33,5.93E-05,0.92,0.00141,,,,,,,
0.65,4.59E-05,0.95,0.00141,0.32,6.14E-05,0.93,0.00141,,,,,,,
0.63,4.97E-05,0.96,0.00141,0.32,6.36E-05,0.94,0.00141,,,,,,,
0.61,5.32E-05,0.97,0.00141,0.31,6.59E-05,0.95,0.00141,,,,,,,
0.59,5.64E-05,0.98,0.00141,0.30,6.83E-05,0.95,0.00141,,,,,,,
0.57,5.96E-05,0.99,0.00141,0.29,7.08E-05,0.96,0.00141,,,,,,,
0.55,6.27E-05,1.00,0.00141,0.28,7.32E-05,0.97,0.00141,,,,,,,
0.53,6.59E-05,1.01,0.00141,0.27,7.59E-05,0.98,0.00141,,,,,,,
0.51,6.90E-05,1.02,0.00141,0.27,7.87E-05,0.99,0.00141,,,,,,,
0.49,7.24E-05,1.02,0.00141,0.26,8.16E-05,1.00,0.00141,,,,,,,
0.47,7.59E-05,1.03,0.00141,0.25,8.47E-05,1.01,0.00141,,,,,,,
0.46,7.99E-05,1.04,0.00141,0.24,8.79E-05,1.02,0.00141,,,,,,,
0.44,8.41E-05,1.05,0.00141,0.23,9.14E-05,1.03,0.00141,,,,,,,
0.42,8.89E-05,1.06,0.00141,0.22,9.48E-05,1.04,0.00141,,,,,,,
0.40,9.38E-05,1.07,0.00141,0.22,9.88E-05,1.05,0.00141,,,,,,,
0.38,9.93E-05,1.08,0.00141,0.21,1.04E-04,1.06,0.00141,,,,,,,
0.36,1.05E-04,1.09,0.00141,0.20,1.24E-04,1.07,0.00141,,,,,,,
0.34,1.11E-04,1.09,0.00141,0.19,1.69E-04,1.08,0.00141,,,,,,,
0.32,1.17E-04,1.10,0.00141,0.18,1.95E-04,1.09,0.00141,,,,,,,
0.30,1.24E-04,1.11,0.00141,0.18,2.11E-04,1.10,0.00141,,,,,,,
0.28,1.31E-04,1.12,0.00141,0.17,2.27E-04,1.11,0.00141,,,,,,,
0.26,1.39E-04,1.13,0.00141,0.16,2.44E-04,1.11,0.00141,,,,,,,
0.24,1.47E-04,1.14,0.00141,0.15,2.60E-04,1.12,0.00141,,,,,,,
0.22,1.56E-04,1.15,0.00141,0.14,2.83E-04,1.13,0.00141,,,,,,,
0.20,1.66E-04,1.16,0.00141,0.14,3.03E-04,1.14,0.00141,,,,,,,
