Cycle 1,,,,Cycle 2,,,
reduction,,oxidation,,reduction,,oxidation,
E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah)
1.49,4.40E-06,0.60,7.04E-04,0.65,8.90E-06,0.59,7.14E-04
1.48,4.53E-06,0.60,7.04E-04,0.65,9.12E-06,0.60,7.15E-04
1.47,4.67E-06,0.61,7.05E-04,0.64,9.35E-06,0.60,7.15E-04
1.46,4.80E-06,0.61,7.05E-04,0.64,9.58E-06,0.61,7.15E-04
1.45,4.93E-06,0.62,7.05E-04,0.63,9.82E-06,0.61,7.16E-04
1.44,5.07E-06,0.62,7.06E-04,0.63,1.01E-05,0.62,7.16E-04
1.43,5.21E-06,0.63,7.06E-04,0.62,1.03E-05,0.62,7.16E-04
1.42,5.37E-06,0.63,7.06E-04,0.62,1.06E-05,0.63,7.17E-04
1.40,5.53E-06,0.64,7.07E-04,0.62,1.08E-05,0.63,7.17E-04
1.39,5.69E-06,0.64,7.07E-04,0.61,1.11E-05,0.64,7.17E-04
1.38,5.85E-06,0.65,7.07E-04,0.61,1.13E-05,0.64,7.17E-04
1.37,6.02E-06,0.65,7.08E-04,0.60,1.16E-05,0.65,7.18E-04
1.36,6.20E-06,0.66,7.08E-04,0.60,1.19E-05,0.65,7.18E-04
1.35,6.38E-06,0.66,7.08E-04,0.59,1.21E-05,0.66,7.18E-04
1.34,6.56E-06,0.67,7.08E-04,0.59,1.24E-05,0.66,7.19E-04
1.33,6.75E-06,0.67,7.09E-04,0.59,1.27E-05,0.67,7.19E-04
1.31,6.95E-06,0.68,7.09E-04,0.58,1.30E-05,0.67,7.19E-04
1.30,7.15E-06,0.68,7.09E-04,0.58,1.33E-05,0.68,7.19E-04
1.29,7.35E-06,0.69,7.10E-04,0.57,1.36E-05,0.68,7.20E-04
1.28,7.57E-06,0.69,7.10E-04,0.57,1.39E-05,0.69,7.20E-04
1.27,7.78E-06,0.70,7.10E-04,0.56,1.42E-05,0.69,7.20E-04
1.26,8.00E-06,0.70,7.10E-04,0.56,1.45E-05,0.70,7.20E-04
1.25,8.23E-06,0.71,7.11E-04,0.56,1.48E-05,0.70,7.21E-04
1.24,8.47E-06,0.71,7.11E-04,0.55,1.52E-05,0.71,7.21E-04
1.22,8.70E-06,0.72,7.11E-04,0.55,1.55E-05,0.71,7.21E-04
1.21,8.95E-06,0.72,7.11E-04,0.54,1.58E-05,0.72,7.21E-04
1.20,9.21E-06,0.73,7.11E-04,0.54,1.62E-05,0.72,7.22E-04
1.19,9.47E-06,0.73,7.12E-04,0.53,1.65E-05,0.73,7.22E-04
1.18,9.75E-06,0.74,7.12E-04,0.53,1.69E-05,0.73,7.22E-04
1.17,1.00E-05,0.74,7.12E-04,0.53,1.72E-05,0.74,7.22E-04
1.16,1.03E-05,0.75,7.12E-04,0.52,1.76E-05,0.74,7.22E-04
1.15,1.07E-05,0.75,7.13E-04,0.52,1.80E-05,0.75,7.23E-04
1.13,1.10E-05,0.76,7.13E-04,0.51,1.83E-05,0.75,7.23E-04
1.12,1.13E-05,0.76,7.13E-04,0.51,1.87E-05,0.76,7.23E-04
1.11,1.16E-05,0.77,7.13E-04,0.50,1.91E-05,0.76,7.23E-04
1.10,1.19E-05,0.77,7.13E-04,0.50,1.95E-05,0.77,7.23E-04
1.09,1.22E-05,0.77,7.14E-04,0.50,1.99E-05,0.77,7.24E-04
1.08,1.26E-05,0.78,7.14E-04,0.49,2.03E-05,0.78,7.24E-04
1.07,1.29E-05,0.78,7.14E-04,0.49,2.07E-05,0.78,7.24E-04
1.06,1.32E-05,0.79,7.14E-04,0.48,2.11E-05,0.79,7.24E-04
1.04,1.36E-05,0.79,7.14E-04,0.48,2.16E-05,0.79,7.24E-04
1.03,1.39E-05,0.80,7.15E-04,0.47,2.20E-05,0.80,7.24E-04
1.02,1.43E-05,0.80,7.15E-04,0.47,2.25E-05,0.80,7.25E-04
1.01,1.47E-05,0.81,7.15E-04,0.47,2.29E-05,0.81,7.25E-04
1.00,1.50E-05,0.81,7.15E-04,0.46,2.33E-05,0.81,7.25E-04
0.99,1.54E-05,0.82,7.15E-04,0.46,2.38E-05,0.82,7.25E-04
0.98,1.58E-05,0.82,7.15E-04,0.45,2.43E-05,0.82,7.25E-04
0.97,1.62E-05,0.83,7.16E-04,0.45,2.48E-05,0.83,7.26E-04
0.95,1.66E-05,0.83,7.16E-04,0.44,2.53E-05,0.83,7.26E-04
0.94,1.70E-05,0.84,7.16E-04,0.44,2.58E-05,0.84,7.26E-04
0.93,1.74E-05,0.84,7.16E-04,0.44,2.63E-05,0.84,7.26E-04
0.92,1.78E-05,0.85,7.16E-04,0.43,2.68E-05,0.85,7.26E-04
0.91,1.83E-05,0.85,7.17E-04,0.43,2.73E-05,0.85,7.26E-04
0.90,1.87E-05,0.86,7.17E-04,0.42,2.78E-05,0.86,7.26E-04
0.89,1.92E-05,0.86,7.17E-04,0.42,2.84E-05,0.86,7.27E-04
0.88,1.97E-05,0.87,7.17E-04,0.41,2.89E-05,0.87,7.27E-04
0.87,2.02E-05,0.87,7.17E-04,0.41,2.95E-05,0.87,7.27E-04
0.85,2.07E-05,0.88,7.17E-04,0.41,3.00E-05,0.88,7.27E-04
0.84,2.13E-05,0.88,7.18E-04,0.40,3.06E-05,0.88,7.27E-04
0.83,2.20E-05,0.89,7.18E-04,0.40,3.12E-05,0.89,7.27E-04
0.82,2.28E-05,0.89,7.18E-04,0.39,3.18E-05,0.89,7.28E-04
0.81,2.40E-05,0.90,7.18E-04,0.39,3.24E-05,0.90,7.28E-04
0.80,2.56E-05,0.90,7.18E-04,0.38,3.30E-05,0.90,7.28E-04
0.79,2.76E-05,0.91,7.18E-04,0.38,3.36E-05,0.91,7.28E-04
0.78,3.03E-05,0.91,7.18E-04,0.38,3.42E-05,0.91,7.28E-04
0.76,3.35E-05,0.92,7.19E-04,0.37,3.49E-05,0.92,7.28E-04
0.75,3.64E-05,0.92,7.19E-04,0.37,3.56E-05,0.92,7.28E-04
0.74,3.90E-05,0.93,7.19E-04,0.36,3.62E-05,0.93,7.29E-04
0.73,4.12E-05,0.93,7.19E-04,0.36,3.69E-05,0.93,7.29E-04
0.72,4.33E-05,0.94,7.19E-04,0.35,3.76E-05,0.94,7.29E-04
0.71,4.53E-05,0.94,7.19E-04,0.35,3.83E-05,0.94,7.29E-04
0.70,4.73E-05,0.95,7.20E-04,0.35,3.90E-05,0.95,7.29E-04
0.69,4.94E-05,0.95,7.20E-04,0.34,3.98E-05,0.95,7.29E-04
0.67,5.13E-05,0.96,7.20E-04,0.34,4.05E-05,0.96,7.29E-04
0.66,5.34E-05,0.96,7.20E-04,0.33,4.13E-05,0.96,7.30E-04
0.65,5.58E-05,0.97,7.20E-04,0.33,4.21E-05,0.97,7.30E-04
0.64,6.18E-05,0.97,7.20E-04,0.32,4.28E-05,0.97,7.30E-04
0.65,6.97E-05,0.98,7.21E-04,0.32,4.36E-05,0.98,7.30E-04
0.64,7.37E-05,0.98,7.21E-04,0.32,4.44E-05,0.98,7.30E-04
0.64,7.90E-05,0.99,7.21E-04,0.31,4.52E-05,0.99,7.30E-04
0.64,8.27E-05,0.99,7.21E-04,0.31,4.61E-05,0.99,7.30E-04
0.63,8.90E-05,1.00,7.21E-04,0.30,4.70E-05,1.00,7.31E-04
0.64,9.63E-05,1.00,7.21E-04,0.30,4.79E-05,1.00,7.31E-04
0.63,1.01E-04,1.01,7.21E-04,0.29,4.87E-05,1.01,7.31E-04
0.62,1.05E-04,1.01,7.22E-04,0.29,4.97E-05,1.01,7.31E-04
0.62,1.09E-04,1.02,7.22E-04,0.29,5.06E-05,1.02,7.31E-04
0.63,1.15E-04,1.02,7.22E-04,0.28,5.15E-05,1.02,7.31E-04
